"title","director","release_year","runtime","subtitle","description","genres","female_protagonist","lgbtq_protagonist","white_protagonist","political/social_or_moral_topic","experimental","cast","watched","avg_rating","X0.5","X1","X1.5","X2","X2.5","X3","X3.5","X4","X4.5","X5","fans","liked","total_ratings","polarization"
"Stella: Live in Boston","Jonathan Stern",2009,63,"","The comedy trio performs live in Boston.","Documentary---Comedy","No","No","Yes","No","No","Michael Ian Black---Michael Showalter---David Wain---Erin Quinn Purcell",431,3.6,0,3,2,4,10,32,36,66,19,35,NA,87,207,1.80584861932531
"Hostel: Part II","Eli Roth",2007,93,"Each year, over 10,000 people in America are killed with firearms. Approximately 2,000 more are stabbed to death. Americans…they have no imagination.","Three American college students studying abroad are lured to a Slovakian hostel, and discover the grim reality behind it.","","Yes","Unknown","Yes","Torture and human trafficking","No","Lauren German---Heather Matarazzo---Bijou Phillips---Vera Jordanova---Jay Hernandez---Roger Bart---Petr Vančura---Richard Burgi---Jordan Ladd---Stanislav Yanevski---Zuzana Geislerová---Milan Kňažko---Roman Janečka---Davide Dominici---Edwige Fenech---Luc Merenda---Susanna Bequer---Monika Maláčová---Liliyan Malkina---Ruggero Deodato---Mark Taylor---Derek Richardson---Rick Hoffman---Ivan Furák---Philip Waley---Rostislav Osička---Petr Bláha---Jiří Bartoň---Michaela Kaplanova---Nada Vanatkova---Jan Nemejovský---Pierre Peyrichout---Riccardo Trombetta---Ota Filip---Jiří Hajdyla---Miroslav Cipra---Mark Taylor---Guilherme Bolliger---Chris Hewitt---Barbara Nedeljakova---Daniel Frisch---David Baxa---Jaromír Nosek---Martin Faltýn---Monika Hladová---Iveta Rucka---Stephanie Bauman---Mollie Andron---Adam Gazik---Adrian Kotlar---Adriana Godlova---Ales Kotlar---Andrea Varadiova---Dana Matiova---Ervin Varadi---Frantisek Dumka---Frantisek Kotlar---Jakub Surmai---Josef Adamovic---Lucas Cajkovsky---Nikolas Conka---Ondrej Cajkovsky---Petr Conka---Radek Entner---Radek Hrdlička---Stanislav Čonka---Vladimir Churan---Jana Kaderabkova---Rick James",116320,2.7,1648,4073,4308,12118,11671,18491,9549,8370,1476,2897,142,15869,74601,2.05116134188782
"Murder on the Cape","Arthur Egeli",2017,95,"Based on a true story","An out-of-work fisherman has an affair with a fashion writer wintering on the Cape. She returns two years later with his child, and when she is murdered, the fisherman is the prime suspect.","","Yes","Unknown","Yes","True crime / Murder mystery","No","Jade Harlow---Heather Egeli---Josh Walther---Tim Misuradze---Chris Lazzaro---Kevin Cotter---John Clayton---Bragan Thomas---Bryce Egeli---Christina Egeli---Sarah MacDonnell",338,2.6,86,61,21,23,15,16,6,5,0,2,NA,21,235,1.73594838792303
"The Notebook","Nick Cassavetes",2004,123,"Behind every great love is a great story.","An epic love story centered around an older man who reads aloud to a woman with Alzheimer’s. From a faded notebook, the old man’s words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.","Romance---Drama","Yes","No","Yes","Class differences","No","Ryan Gosling---Rachel McAdams---Gena Rowlands---James Garner---Joan Allen---David Thornton---James Marsden---Kevin Connolly---Sam Shepard---Starletta DuPois---Ed Grady---Jennifer Echols---Heather Wahlquist---Cullen Moss---Thunderbird Dinwiddie---James Middleton---Peter Rosenfeld---Obba Babatundé---Chuck Pacheco---Todd Lewis---Mark Johnson---Robert Fraisse---Barbara Weetman---Daniel Chamblin---Sasha Azevedo---Jamie Anne Allman---Rebecca Koon---Sandra Elise Williams---Deborah Hobart---Sylvia Jefferies---Mark Garner---Scott Ritenour---Milton Buras---Elizabeth Bond---Matthew Barry---Nancy De Mayo---Renée Amber---Tim O'Brien---Meredith O'Brien---Geoffrey Knight---Andrew Schaff---Tim Ivey---Anthony-Michael Q. Thomas---Matt Shelly---Michael D. Fuller---Jonathan Parks Jordan---Leslea Fisher---Jude Kitchens---Pat Leonard---Kweli Leapart---Frederick Bingham---Daniel Czekalski---Bradley D. Capshaw---James Scott Deaton---Eve Kagan---Stephanie Wheeler---Erin Guzowski---John Cundari---Hugh Robertson---Robert Washington---Robert Ivey---Sherril M. Turner---Meredith Zealy---Julianne Keller Lewis---Madison Wayne Ellis---Riley Novak---Ronald Betts---Paul Johansson---David Abrams---Bruce Williamson---Bob Forrest---Taylor Engel",2444073,3.8,7652,17152,11638,53656,55236,207954,202529,392388,145713,502500,74000,771798,1596418,1.79530103048603
"Julia X","P.J. Pettiette",2011,92,"","Meeting a man on the Internet, Julia decides to see him in person, only to get abducted and branded with the letter “x” by that guy. A game of cat and mouse follows, but the story has an unexpected twist.","","Yes","Unknown","Yes","No","No","Valerie Azlynn---Kevin Sorbo---Alicia Leigh Willis---Joel David Moore---Ving Rhames---Saxon Sharbino---Gregg Brazzel---Meg Rains---Kasi Scarbrough Corley---Sarah Duncan---Ted Ferguson---Michael Kober---James B. McDaniel---Courtney Rawls---Michael Showers---Lindsay Small---Cassie Shea Watson",1219,2.6,56,106,110,174,158,149,80,49,6,10,1,112,898,2.0618755817896
"The Princess of Montpensier","Bertrand Tavernier",2010,139,"Love. Conflict. Betrayal.","Set in the high courts of 16th Century France, where the wars of religion between Catholics and Protestants are raging. Marie de Mézières, a beautiful young aristocrat, is in love with Henri de Guise, but her hand in marriage is promised to the Prince of Montpensier.","Drama---Romance---History---Action","Yes","No","Yes","Religious wars and court intrigues","No","Mélanie Thierry---Lambert Wilson---Gaspard Ulliel---Grégoire Leprince-Ringuet---Raphaël Personnaz---Michel Vuillermoz---Philippe Magnan---Florence Thomassin---Christine Brücher---Evelina Meghnagi---Judith Chemla---César Domboy---Jean-Pol Dubois---Charles Petit---Joséphine de la Baume---Anatole de Bodinat---Samuel Theis---Eric Rulliat---Jean-Yves Roan---Nathalie Krebs---Alain Sachs---Tomasz Białkowski---Jean-Claude Calon---Olivier Loustau---Deborah Grall---Mathieu Lourdel---Frédéric Bourboulon---Francis Camel---Frédéric Laforet---Romain Vergnaud---Yann Vaille",6776,3.2,40,120,120,404,516,1105,689,496,73,128,11,685,3691,1.92727478785705
"Capital Games","Ilo Orleans",2013,97,"","Take two ambitious men, one top LA advertising firm, add a competition for the same high ranking job. Tough ex-LAPD cop, Steve Miller quit police to work in the calm environment of a business office. Mark Richfield, the glamorous new kid in the office, soon wins favor with the big boss and co-workers causing Steve to cringe in jealousy. After a crazy night in the Santa Fe desert Steve becomes torn between passionate love and passionate hatred. Steve and Mark endure agonizing decisions that will affect their lives forever. ×","","No","Yes","Unknown","No","No","Eric Presnall---Gregor Cosgrove---Rebekah Apodaca---Dewitt Duncan---Shane Keough---Bob Hosko---Corinne Fox---Chuck Erickson---Lena Ann Balambao---Paul Caster---Julian Cordova---Dion Hindi---Patricia Jimenez---Scott Herald---Cristo Cabrera---Kerryanne Devine",296,2.7,43,32,29,44,34,24,9,8,1,5,NA,23,229,2.03888196126882
"Shiver","Julian Richards",2012,92,"The perfect killer has met his match","Wendy Alden, a young secretary in Portland lacking in self- confidence becomes victim of a savage killer who has claimed the lives of a number of other women. Somehow Wendy finds the resources of courage to fight back and escape.","Thriller---Horror","Yes","No","Yes","No","No","Danielle Harris---John Jarratt---Casper Van Dien---Rae Dawn Chong---Brad Harris---Valerie Harper---Nikita Esco---Shan Applegate---Lisa Foiles---Savannah Kay Gordon---Heather Dominguez---Casey Hogrefe",620,2.7,50,68,52,107,75,70,23,12,2,9,NA,57,468,2.01964805947172
"Jekyll and Hyde… Together Again","Jerry Belson",1982,87,"The comedy that examines modern living through chemistry.","While conducting a research experiment intended to bring about an alternative to modern surgery, exhausted Los Angeles surgeon Dr. Daniel Jekyll falls asleep and accidentally inhales the white powders, transforming him into a wildly uninhibited nymphomaniac.","Comedy---Science Fiction---Horror","No","Unknown","Yes","No","No","Mark Blankfield---Bess Armstrong---Krista Errickson---Tim Thomerson---Michael McGuire---Neil Hunt---Cassandra Peterson---Peter Brocco---Noelle North---Liz Sheridan---George Wendt---Virginia Wing---Barret Oliver---Art LaFleur---Lin Shaye---George Chakiris---Tony Cox---Bernadette Birkett---Jesse D. Goins",1124,3,15,58,55,99,102,155,89,69,32,34,3,243,708,2.14525970032264
"Mrs. Miniver","William Wyler",1942,134,"“Mrs. Miniver” is more than a picture… It’s dramatic. It’s tender. It’s human. It’s real.","Middle-class housewife Kay Miniver deals with petty problems. She and her husband Clem watch her Oxford-educated son Vin court Carol Beldon, the charming granddaughter of the local nobility as represented by Lady Beldon. Then the war comes and Vin joins the RAF.","Romance---War---Drama","Yes","No","Yes","World War II","No","Greer Garson---Walter Pidgeon---Teresa Wright---May Whitty---Reginald Owen---Henry Travers---Richard Ney---Henry Wilcoxon---Christopher Severn---Brenda Forbes---Clare Sandars---Marie De Becker---Helmut Dantine---John Abbott---Connie Leon---Rhys Williams---Tom Conway---Gibson Gowland---Peter Lawford---John Burton---Colin Kenny---William Ripley Dorr---Harry Allen---Frank Atkinson---Sybil Bacon---Frank Baker---Virginia Bassett---Louise Bates---Guy Bellis---Charles Bennett---Florence Benson---Art Berry Sr.---Billy Bevan---Ted Billings---Walter Byron---Colin Campbell---Leonard Carey---Aileen Carlyle---Herbert Clifton---David Clyde---Edward Cooper---Jules Cowles---Alec Craig---Sidney D'Albrook---Joan Delmer---David Dunbar---Billy Engle---Herbert Evans---Mary Field---E.L. Fisher-Smith---Leslie Francis---Sidney Franklin---Douglas Gordon---Hugh Greenwood---Bobby Hale---Eddie Hall---Forrester Harvey---Billy Horn---Harold Howard---Charles Irwin---Henry King---Eric Lonsdale---Thomas Louden---Miles Mander---Stanley Mann---Aubrey Mather---Dan Maxwell---Dickie Meyers---Alice Mock---Eula Morgan---Ottola Nesmith---Gil Perkins---John Power---Charles Ray---Clara Reid---Paul Scardon---Leslie Sketchley---Gerald Oliver Smith---Vernon Steele---David Thursby---Tommy Tucker---Leslie Vincent---Kitty Watson---Ben Webster---Tudor Williams---Arthur Wimperis---Marek Windheim---Florence Wix---Ian Wolfe",19542,3.7,6,66,99,423,684,2302,3041,3930,1318,1099,27,3991,12968,1.78478806900225
"Kudumbasree Travels","Kiran",2011,132,"","Aravindan has finally found a Nangyar Koothu performer, Aswathy, to marry. She stays in Cochin. Aravindan with his family and friends embark on a voyage from their tiny village to the city in a tourist bus called Kudumbasree Travels. Will they make to the wedding before the auspicious time?","Comedy---Family","No","No","No","No","No","Jayaram---Bhavana---Jagathy Sreekumar---Kottayam Nazeer---Maniyanpilla Raju---Radhika---Mamukkoya---KPAC Lalitha---Janardhanan",612,2.7,45,55,35,39,24,19,5,5,0,1,1,21,228,1.88841915862334
"Goal III: Taking on the World","Andrew Morahan",2009,91,"","Mexican footballer Santiago Muñez, along with his best friends and England national team players Charlie Braithwaite and Liam Adams, are selected for their respective national teams at the 2006 FIFA World Cup Finals in Germany.","","No","No","No","No","No","JJ Feild---Leo Gregory---Kuno Becker---Kasia Smutniak---Anya Lahiri---Nick Moran---Christopher Fairbank---Mike Elliot---Craig Heaney---Jack McBride---Tamer Hassan---Ori Pfeffer---John Salthouse---Gary Lewis---Tereza Srbova---Margo Stilley---Olivia Phillips---Antonia Bernath---Sam Cunningham---Mellissa Laycy---Erin Lister---Jakki Degg---Anna Maria Everett---Gabrielle Richens---Paul McGavin---Tia Thomas---Paul Humpoletz---Brett Morton---Dave Sansom---Bruce Jackson---Joemma Lavin---Daniel Cowley---Rob Jones---Phil Matthews---John Motson---Matthew Waters---Anna Tyler---Derek Williams---Brian Newbold---Deita Hubbard---Kerry Shepherd---Cliff Bradley---Peter Heslop---Russell De Rozario---Adam Marusiak---Anthony Ofei---Craig Palmer---Dennis Sweeney---Emeka Ejiofor---Gareth Ellis---Holden Ashley Stein---Jamie Poole---Lee White---Leigh Clayton---Liam Moynihan---Matthew Thorpe---Nathan Wint---Neil Elson---Oliver Jones---Steve Madden---Toby George Jones---David Beckham---John Terry---Frank Lampard---Jamie Carragher---Paul Robinson---Owen Hargreaves---Peter Crouch---Rio Ferdinand---Joe Cole---Gary Neville---Ray Clemence---Jermaine Jenas---Aaron Lennon---Wayne Bridge---Steven Gerrard---Wayne Rooney---Sven-Göran Eriksson---Ronaldo---Hernán Crespo---John Aloisi---Fernando Torres---Thierry Henry---Filippo Inzaghi---Ruud van Nistelrooy---Olof Mellberg---Henrik Larsson---Cristiano Ronaldo---Andrew Shue---Peter Dale",8615,1.5,1787,1540,722,746,280,302,64,52,5,38,5,286,5536,1.70221486850091
"A New Leaf","Elaine May",1971,102,"Henry & Henrietta… the love couple of the seventies… and the laugh riot of the year.","After running out of funds, Henry Graham, a carefree playboy, plots to marry and murder wealthy botanist Henrietta Lowell.","Comedy---Romance","Yes","No","Yes","No","No","Walter Matthau---Elaine May---Jack Weston---George Rose---James Coco---Doris Roberts---Renée Taylor---William Redfield---Graham Jarvis---Jess Osuna---David Doyle---Fred Stewart---Mark Gordon---Rose Arrick---Conrad Bain---William Hickey---John O'Leary---Ida Berlin---Mildred Clinton---Trent Gough---Carol Morley---Cindy Rubenfine---Ellen Stretton",37549,3.9,16,79,78,376,648,2737,5138,9910,4727,3406,424,14420,27115,1.66645364573246
"My One And Only Love","Youssef Chahine",1957,110,"","Farid is forced to marry his cousin, Yasmina, after their uncle leaves them a big inheritance, provided that the two get married. They decide to get married on paper and separate after receiving the inheritance, but during the honeymoon in Aswan,they fall in love with each other.","Comedy---Romance---Music","Yes","No","No","Marriage of convenience","No","Farid Al-Atrash---Shadia---Hind Rostom---Abdel Moneim Ibrahim---Abdelsalam El Nabolsi---Serag Mounir---Mimi Chakib---Zeinat Sedki---Abdel Ghani El Nagdi---Reyaad ElQasabgy---Abdel Aziz Ahmad---Sayed Suleiman---Gamalat Zayed---Abd El Nabi Mohamed---Ali Abdel Aal---Zeinab Muhammed---Mohamed Shawqi---Abdel Azim Kamel---George Yordanis",793,3.5,1,7,1,24,22,88,96,101,17,51,NA,226,408,1.83260156332701
"The Minimalists: Less Is Now","Matt D’Avella",2021,53,"","They’ve built a movement out of minimalism. Longtime friends Joshua Fields Millburn and Ryan Nicodemus share how our lives can be better with less.","","No","Unknown","Yes","Minimalism / Consumer Culture","No","Joshua Fields Millburn---Ryan Nicodemus",10154,2.6,339,599,517,1216,1027,1455,498,527,84,238,1,840,6500,2.09309906547992
"The Final Destination","David R. Ellis",2009,82,"Rest in pieces.","A horrifying premonition saves a young man and his friends from death during a racetrack accident but terrible fates await them nonetheless.","Horror---Mystery","No","Unknown","Yes","No","No","Bobby Campo---Shantel VanSanten---Nick Zano---Haley Webb---Mykelti Williamson---Krista Allen---Andrew Fiscella---Justin Welborn---Stephanie Honoré---Lara Grice---Jackson Walker---Phil Austin---William Aguillard---Brendan Aguillard---Juan Kincaid---Monique Detraz---Chris Fry---Tina Parker---Cecile Monteyne---Stacey Dizon---Dane Rhodes---Gabrielle Chapin---Harold Evans---Camille Bourgeois---Curtis Akin---Eric Paulsen---Belford Carver---Damien Dao---Jedda Jones---Joseph T. Ridolfo---Chris Langlois---Trey Burvant---Larry E. Lundy Jr.---Courtney James---Joshua Hinson---Jenna Craig---Andy Ussach",464705,2,17567,42181,42413,74731,44369,49391,16161,15876,2309,8331,166,44136,313329,2.04873832543805
"Mädchen in Uniform","Leontine Sagan",1931,88,"What is its strange appeal? Why does it stir the emotions?","A sensitive girl is sent to an all-girls boarding school and develops a romantic attachment to one of her teachers.","Drama---Romance","Yes","Yes","Yes","Lesbian love and authoritarian repression","No","Emilia Unda---Dorothea Wieck---Hedwig Schlichter---Hertha Thiele---Ellen Schwanneke---Annemarie von Rochhausen---Erika Biebrach---Lene Berdolt---Margory Bodker---Gertrud de Lalsky---Else Ehser---Marte Hein---Miriam Lehmann-Haupt---Erika Mann---Barbara Pirk---Ethel Reschke---Lisi Scheerbach---Doris Thalmer---Ilse Vigdor---Ilse Winter---Charlotte Witthauer",23577,3.9,22,50,62,223,441,2085,3188,5763,1998,2066,143,7690,15898,1.69046127486643
"Michelle Wolf: Joke Show","Lance Bangs",2019,59,"","Comedian Michelle Wolf takes on outrage culture, massages, childbirth, feminism and much more (like otters) in a stand-up special from New York City.","","Yes","Unknown","Yes","Feminism","No","Michelle Wolf",4186,3.6,7,21,17,73,148,436,604,785,174,150,NA,835,2415,1.75303411345925
"Ormayundo Ee Mukham","Anvar Sadik",2014,134,"","Goutham is a young businessman who lives with his mother and grandmother. Goutham’s mother Vasundara Devi is the head of their family business. Vasundara Devi is a strict mother; but grand motheris extremely friendly with Goutham. Apporva is Goutham’s best pal. Then enters Nithya, a sand animation artist. Goutham meets Nithya and after a series of incidents, the couple falls in love. But Nithya, who has a memory loss problem due to a major accident,can’t remember anything more than a day. This problem creates obstacles in Goutham and Nithya’s relationship and this forms the crux of the story. ×","Romance---Music","Yes","No","No","No","No","Vineeth Sreenivasan---Namitha Pramod---Aju Varghese---Rohini---Soumya Sadanandan---Lakshmi---Muktha George---Idavela Babu---Anju Aravind---Mukesh---Reena Basheer---Raveendran---Bhagath Manuel",1445,3,19,39,28,118,122,145,45,21,2,7,NA,97,546,1.88315896563524
"Kevin Hart: Seriously Funny","Shannon Hartman",2010,72,"","Fresh off the heels of appearing in movies like Superhero Movie and The 40 Year-Old Virgin, fast-talking comedian Kevin Hart stars in his second live stand-up performance in Cleveland, Ohio, where he makes fun of everything and everybody - especially himself.","Documentary---TV Movie---Comedy","No","No","No","No","No","Kevin Hart",10544,3.5,44,65,47,194,301,1053,905,1082,227,391,2,1414,4309,1.87676420037065
